time,ref_x,ref_y,ref_z
6.150000,18.196298,0.000000,0.000000
6.160000,18.246206,0.000000,0.000000
6.170000,18.296110,0.000000,0.000000
6.180000,18.346011,0.000000,0.000000
6.190000,18.395908,0.000000,0.000000
6.200000,18.445801,0.000000,0.000000
6.210000,18.495690,0.000000,0.000000
6.220000,18.545574,0.000000,0.000000
6.230000,18.595454,0.000000,0.000000
6.240000,18.645329,0.000000,0.000000
6.250000,18.695199,0.000000,0.000000
6.260000,18.745064,0.000000,0.000000
6.270000,18.794924,0.000000,0.000000
6.280000,18.844778,0.000000,0.000000
6.290000,18.894626,0.000000,0.000000
6.300000,18.944469,0.000000,0.000000
6.310000,18.994305,0.000000,0.000000
6.320000,19.044135,0.000000,0.000000
6.330000,19.093958,0.000000,0.000000
6.340000,19.143774,0.000000,0.000000
6.350000,19.193582,0.000000,0.000000
6.360000,19.243383,0.000000,0.000000
6.370000,19.293177,0.000000,0.000000
6.380000,19.342962,0.000000,0.000000
6.390000,19.392738,0.000000,0.000000
6.400000,19.442506,0.000000,0.000000
6.410000,19.492264,0.000000,0.000000
6.420000,19.542013,0.000000,0.000000
6.430000,19.591752,0.000000,0.000000
6.440000,19.641480,0.000000,0.000000
6.450000,19.691198,0.000000,0.000000
6.460000,19.740905,0.000000,0.000000
6.470000,19.790599,0.000000,0.000000
6.480000,19.840282,0.000000,0.000000
6.490000,19.889952,0.000000,0.000000
6.500000,19.939609,0.000000,0.000000
6.510000,19.989253,0.000000,0.000000
6.520000,20.038882,0.000000,0.000000
6.530000,20.088497,0.000000,0.000000
6.540000,20.138096,0.000000,0.000000
6.550000,20.187680,0.000000,0.000000
6.560000,20.237247,0.000000,0.000000
6.570000,20.286797,0.000000,0.000000
6.580000,20.336329,0.000000,0.000000
6.590000,20.385843,0.000000,0.000000
6.600000,20.435337,0.000000,0.000000
6.610000,20.484812,0.000000,0.000000
6.620000,20.534265,0.000000,0.000000
6.630000,20.583698,0.000000,0.000000
6.640000,20.633107,0.000000,0.000000
6.650000,20.682494,0.000000,0.000000
6.660000,20.731857,0.000000,0.000000
6.670000,20.781194,0.000000,0.000000
6.680000,20.830506,0.000000,0.000000
6.690000,20.879791,0.000000,0.000000
6.700000,20.929048,0.000000,0.000000
6.710000,20.978275,0.000000,0.000000
6.720000,21.027473,0.000000,0.000000
6.730000,21.076639,0.000000,0.000000
6.740000,21.125773,0.000000,0.000000
6.750000,21.174874,0.000000,0.000000
6.760000,21.223939,0.000000,0.000000
6.770000,21.272969,0.000000,0.000000
6.780000,21.321960,0.000000,0.000000
6.790000,21.370914,0.000000,0.000000
6.800000,21.419826,0.000000,0.000000
6.810000,21.468697,0.000000,0.000000
6.820000,21.517525,0.000000,0.000000
6.830000,21.566308,0.000000,0.000000
6.840000,21.615045,0.000000,0.000000
6.850000,21.663733,0.000000,0.000000
6.860000,21.712372,0.000000,0.000000
6.870000,21.760959,0.000000,0.000000
6.880000,21.809493,0.000000,0.000000
6.890000,21.857972,0.000000,0.000000
6.900000,21.906394,0.000000,0.000000
6.910000,21.954757,0.000000,0.000000
6.920000,22.003059,0.000000,0.000000
6.930000,22.051297,0.000000,0.000000
6.940000,22.099471,0.000000,0.000000
6.950000,22.147577,0.000000,0.000000
