time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3.900000,0.041366,9.856041,0.130423,0.008857,-0.004743,0.000628
3.910000,-0.032147,9.861503,-0.033448,-0.003590,0.002403,0.005803
3.920000,-0.015841,9.815125,-0.013002,0.017528,0.006887,-0.011505
3.930000,0.108239,9.726163,0.086880,-0.000506,-0.006450,0.010765
3.940000,0.070531,9.866551,0.055448,-0.014195,-0.007345,0.005913
3.950000,0.099190,9.889413,0.011262,0.002886,0.003854,-0.003332
3.960000,0.017755,9.800999,0.005594,-0.008279,0.007778,0.007972
3.970000,0.073417,9.810248,0.000709,0.006492,0.010329,0.008704
3.980000,0.058857,9.898305,0.057355,-0.004173,0.000853,-0.005683
3.990000,0.032573,9.830106,-0.029039,0.004519,0.004240,0.011146
4.000000,0.102760,9.859702,-0.088806,-0.006381,0.003808,-0.006848
4.010000,-0.031564,9.828668,-0.028742,0.013006,-0.007507,-0.000183
4.020000,-0.025539,9.806210,-0.019307,0.003920,-0.006738,0.004229
4.030000,0.020802,9.801060,0.058686,-0.007650,0.005211,-0.007890
4.040000,0.024335,9.741219,0.056042,0.010462,0.013529,-0.000860
4.050000,-0.015709,9.778231,0.047223,0.001582,0.011763,-0.001305
4.060000,0.037286,9.804412,-0.033765,0.007841,-0.014407,-0.001300
4.070000,-0.011912,9.802208,-0.107645,0.009037,0.006133,0.006276
4.080000,-0.017958,9.810169,-0.045253,0.000749,0.009492,0.007545
4.090000,-0.002443,9.759531,-0.028184,0.007260,-0.004753,-0.013146
4.100000,0.038122,9.822162,0.020260,-0.000694,0.016644,0.006851
4.110000,0.077335,9.780678,0.008046,0.010608,-0.002383,0.005991
4.120000,0.052196,9.844298,0.014605,-0.011978,-0.006008,0.011251
4.130000,0.077079,9.821811,-0.020295,-0.005357,0.023738,0.014154
4.140000,0.156543,9.860623,-0.043219,0.008783,-0.003800,0.007266
4.150000,0.033488,9.811497,-0.044359,-0.005620,0.005040,0.022995
4.160000,0.032151,9.799658,-0.098203,-0.005872,-0.003584,0.006866
4.170000,0.041171,9.791801,-0.024364,0.000055,-0.024710,-0.019755
4.180000,0.024946,9.765430,-0.056948,-0.004214,-0.012013,0.000947
4.190000,0.030565,9.803837,0.067235,0.002655,-0.011368,0.006244
4.200000,0.089015,9.758080,-0.002720,0.006471,0.002854,-0.006250
4.210000,0.024613,9.825876,-0.039738,-0.011139,-0.009012,0.007304
4.220000,-0.012623,9.822368,-0.038781,-0.001776,-0.006078,0.007669
4.230000,0.038570,9.810943,-0.020937,0.006889,-0.013936,-0.017040
4.240000,-0.063770,9.844363,-0.019196,0.002056,-0.002863,0.010073
4.250000,0.066673,9.821862,0.068652,-0.009080,-0.010742,0.005906
4.260000,0.044802,9.809224,0.050885,0.006409,0.023423,0.012416
4.270000,0.020206,9.794580,0.029150,-0.003341,-0.001256,-0.014480
4.280000,-0.040489,9.731297,0.001422,-0.007099,-0.004957,-0.009345
4.290000,0.014060,9.851680,0.043104,0.001313,-0.008309,0.006023
4.300000,0.056070,9.815857,-0.056710,0.017290,0.002928,0.000209
4.310000,-0.042610,9.820801,0.040527,0.000253,-0.005010,-0.009271
4.320000,0.015880,9.792509,0.066403,-0.012898,0.001705,0.014605
4.330000,-0.001520,9.797470,0.024959,-0.006946,0.005002,-0.019448
4.340000,0.018995,9.872570,0.011195,-0.005661,0.011484,-0.020481
4.350000,-0.039615,9.789313,-0.067638,0.005760,-0.003529,0.007899
4.360000,0.049601,9.769572,-0.108743,-0.003222,-0.002152,0.023892
4.370000,0.028802,9.857293,0.077341,-0.012692,0.035672,0.010286
4.380000,0.012037,9.730774,-0.102548,0.005936,0.001118,-0.009207
4.390000,-0.000065,9.817365,-0.017002,-0.009388,-0.007754,-0.005012
4.400000,-0.010104,9.841314,0.032242,0.011777,-0.000530,0.002668
4.410000,-0.035399,9.779988,-0.048034,0.016302,-0.012279,-0.004980
4.420000,-0.049633,9.759730,-0.015550,0.002717,-0.001711,0.001470
4.430000,0.030733,9.800604,-0.025540,-0.005213,-0.002663,-0.003136
4.440000,0.022121,9.839466,-0.010841,-0.001281,0.007122,0.004497
4.450000,-0.001214,9.793630,0.072003,-0.008561,-0.003988,-0.001655
4.460000,-0.057414,9.780376,-0.079306,-0.010988,-0.007565,-0.009136
4.470000,0.054710,9.850919,0.024275,-0.011324,-0.005593,-0.004337
4.480000,-0.011914,9.857475,0.050784,-0.017657,0.007992,0.001489
4.490000,0.071647,9.887747,-0.044074,-0.016830,0.014900,0.004831
4.500000,-0.024083,9.878903,0.014347,-0.013762,0.017436,-0.002322
4.510000,-0.025720,9.727012,0.036734,-0.000922,0.004375,-0.000452
4.520000,0.005353,9.826559,-0.056337,0.018959,0.002170,0.002948
4.530000,-0.053967,9.798743,-0.023398,-0.011190,-0.013307,0.006981
4.540000,0.038149,9.851470,0.018549,0.000860,0.007315,0.005583
4.550000,-0.043642,9.820988,0.041525,-0.002461,-0.010006,-0.002185
4.560000,0.042705,9.768161,-0.033870,0.003587,-0.000909,-0.011739
4.570000,0.065527,9.764127,-0.120377,-0.027539,-0.017862,-0.021650
4.580000,-0.061914,9.865175,-0.032919,-0.013184,0.006261,-0.005086
4.590000,-0.002164,9.762509,0.046287,0.007846,-0.002566,-0.001196
4.600000,0.062176,9.773309,0.062973,-0.002953,-0.004689,-0.000892
4.610000,0.013150,9.818387,-0.026151,0.001910,0.006574,-0.001052
4.620000,-0.022462,9.812757,-0.020332,-0.001104,-0.001364,0.008478
4.630000,0.029101,9.881621,0.077946,-0.016439,-0.011133,0.012816
4.640000,0.029328,9.925658,0.044567,0.009648,-0.000237,-0.001406
4.650000,-0.013061,9.764166,-0.001846,0.000009,-0.002976,-0.007862
4.660000,-0.000973,9.806695,0.076079,0.015603,-0.009913,-0.007241
4.670000,0.031174,9.826933,0.127930,0.003423,0.006365,0.006557
4.680000,-0.006510,9.895298,0.059672,-0.000152,-0.001468,-0.007131
4.690000,0.082797,9.825830,-0.007273,-0.002268,0.001964,-0.008612
4.700000,0.000178,9.804146,0.036763,-0.004857,-0.015582,-0.002069
4.710000,0.007916,9.817175,-0.005881,0.004143,0.005802,0.010681
4.720000,0.081541,9.772043,0.005146,0.001197,-0.003066,-0.008264
4.730000,-0.109050,9.850186,-0.008979,0.003391,-0.003477,0.005811
4.740000,0.109468,9.799097,0.000181,0.014875,-0.004909,0.013718
4.750000,-0.044491,9.855913,-0.067352,-0.001361,0.009980,0.002279
