time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5.590000,-0.000009,9.744780,-0.020151,-0.010270,0.002107,0.001347
5.600000,0.017368,9.862179,-0.079564,-0.008389,-0.015015,-0.017782
5.610000,0.051257,9.815717,-0.012168,-0.000067,0.007665,0.009975
5.620000,-0.051526,9.831001,0.004355,-0.000796,-0.009671,-0.001321
5.630000,0.005199,9.862198,-0.027635,0.004118,0.000379,0.012519
5.640000,0.139720,9.816742,0.029644,-0.003363,-0.006569,0.009277
5.650000,0.034951,9.895889,-0.034819,-0.016658,0.019649,-0.003072
5.660000,-0.012910,9.719062,0.052170,0.006468,-0.001657,-0.005513
5.670000,0.077025,9.859282,0.036763,-0.015648,-0.001913,0.008008
5.680000,-0.014894,9.932207,-0.004577,0.003739,0.003170,-0.001155
5.690000,-0.021412,9.871356,-0.013513,-0.008836,0.004772,0.003452
5.700000,-0.041045,9.781740,-0.041492,0.020553,-0.016796,-0.011936
5.710000,0.032363,9.758490,-0.092591,0.003434,0.006867,0.002319
5.720000,0.038909,9.807815,-0.089955,-0.022284,-0.014529,0.012846
5.730000,0.004895,9.797793,-0.079381,-0.001522,0.002369,-0.005892
5.740000,0.094444,9.799850,-0.046353,0.019169,0.013909,0.007969
5.750000,-0.051737,9.881627,0.021558,0.004187,-0.005101,-0.002488
5.760000,0.032717,9.794850,0.031167,-0.003300,-0.006917,0.004900
5.770000,-0.015713,9.841710,0.059483,-0.003133,0.003377,-0.004506
5.780000,-0.016887,9.846395,0.052873,-0.005602,-0.014694,-0.013312
5.790000,-0.024307,9.766281,-0.009292,-0.009779,-0.022333,-0.008602
5.800000,-0.067073,9.781965,0.041284,-0.018765,-0.011596,0.006348
5.810000,0.012686,9.841113,-0.060105,0.008566,-0.003415,0.000017
5.820000,-0.058726,9.766330,-0.025518,0.020229,0.008544,0.009577
5.830000,-0.029335,9.881718,0.056110,-0.007859,0.007516,0.018797
5.840000,-0.095204,9.798365,0.018894,0.015999,-0.003305,0.000316
5.850000,-0.050619,9.802750,0.046179,-0.003276,-0.012528,0.003124
5.860000,-0.043334,9.796539,0.004757,0.012349,0.002898,-0.005788
